godina,datum,lokalitet,vrsta_lat,vrsta_hr,brojnost,metoda,opazac,temperatura_C,vlaznost_pct
2020,2020-03-01,Risnjak,Parus major,Velika sjenica,36,transekt,A.P.,12.8,56
2020,2020-03-01,Risnjak,Picus viridis,Zelena žuna,6,IPA,A.P.,12.9,63
2020,2020-03-01,Risnjak,Erithacus rubecula,Crvendać,15,IPA,D.T.,14.7,71
2020,2020-03-01,Risnjak,Turdus merula,Kos,20,transekt,D.T.,10.2,83
2020,2020-03-01,Risnjak,Dryocopus martius,Crna žuna,4,IPA,A.P.,12.9,82
2020,2020-03-01,Risnjak,Buteo buteo,Škanjac,12,točkasta_metoda,S.B.,14.5,82
2020,2020-03-06,Velebit,Fringilla coelebs,Zeba,31,transekt,S.B.,10.8,74
2020,2020-03-06,Velebit,Parus major,Velika sjenica,31,točkasta_metoda,A.P.,14.9,80
2020,2020-03-06,Velebit,Phoenicurus ochruros,Crvenrepka,11,točkasta_metoda,I.H.,12.3,81
2020,2020-03-06,Velebit,Corvus corax,Gavran,8,transekt,S.B.,15.1,50
2020,2020-03-06,Velebit,Dendrocopos major,Veliki djetlić,15,transekt,A.P.,16.2,53
2020,2020-03-06,Velebit,Sitta europaea,Brgljez,19,transekt,M.K.,15.5,80
2020,2020-03-06,Velebit,Turdus merula,Kos,30,IPA,D.T.,11.5,66
2020,2020-03-06,Velebit,Cyanistes caeruleus,Plavetna sjenica,25,transekt,S.B.,17.9,63
2020,2020-03-06,Velebit,Erithacus rubecula,Crvendać,17,IPA,D.T.,,75
2020,2020-03-07,Risnjak,Accipiter gentilis,Jastreb kokošar,2,transekt,M.K.,16.2,76
2020,2020-03-07,Risnjak,Dendrocopos major,Veliki djetlić,16,transekt,M.K.,17.2,63
2020,2020-03-07,Risnjak,Buteo buteo,Škanjac,2,točkasta_metoda,A.P.,11.2,76
2020,2020-03-07,Risnjak,Parus major,Velika sjenica,31,IPA,A.P.,10.9,67
2020,2020-03-07,Risnjak,Tetrao urogallus,Tetrijeb,1,točkasta_metoda,A.P.,15.6,77
2020,2020-03-07,Risnjak,Fringilla coelebs,Zeba,31,IPA,A.P.,19.1,65
2020,2020-03-07,Risnjak,Sitta europaea,Brgljez,11,IPA,M.K.,13.8,64
2020,2020-03-10,Plitvice,Accipiter gentilis,Jastreb kokošar,3,transekt,D.T.,19.2,74
2020,2020-03-10,Plitvice,Parus major,Velika sjenica,29,transekt,D.T.,14.3,85
2020,2020-03-10,Plitvice,Phoenicurus ochruros,Crvenrepka,10,IPA,S.B.,16.5,65
2020,2020-03-10,Plitvice,Turdus merula,Kos,25,IPA,D.T.,14.2,60
2020,2020-03-10,Plitvice,Cyanistes caeruleus,Plavetna sjenica,28,točkasta_metoda,M.K.,10.7,80
2020,2020-03-10,Plitvice,Fringilla coelebs,Zeba,36,IPA,I.H.,18.8,80
2020,2020-03-18,Velebit,Fringilla coelebs,Zeba,37,točkasta_metoda,D.T.,13,72
2020,2020-03-18,Velebit,Accipiter gentilis,Jastreb kokošar,5,točkasta_metoda,I.H.,11,74
2020,2020-03-18,Velebit,Dendrocopos major,Veliki djetlić,5,točkasta_metoda,D.T.,18.1,80
2020,2020-03-18,Velebit,Strix Uralskaensis,Uralska sova,4,točkasta_metoda,D.T.,14.9,61
2020,2020-03-18,Velebit,Parus major,Velika sjenica,25,transekt,D.T.,20.3,61
2020,2020-03-18,Velebit,Cyanistes caeruleus,Plavetna sjenica,22,točkasta_metoda,A.P.,15.7,73
2020,2020-03-22,Risnjak,Phoenicurus ochruros,Crvenrepka,8,transekt,D.T.,15.6,68
2020,2020-03-22,Risnjak,Dendrocopos major,Veliki djetlić,13,točkasta_metoda,S.B.,13.5,83
2020,2020-03-22,Risnjak,Accipiter gentilis,Jastreb kokošar,5,IPA,A.P.,12.1,67
2020,2020-03-22,Risnjak,Parus major,Velika sjenica,23,transekt,I.H.,14.8,68
2020,2020-03-22,Risnjak,Dryocopus martius,Crna žuna,3,točkasta_metoda,A.P.,13.2,55
2020,2020-03-22,Risnjak,Picus viridis,Zelena žuna,8,transekt,S.B.,11.5,51
2020,2020-03-22,Risnjak,Turdus merula,Kos,25,transekt,D.T.,12.8,51
2020,2020-03-22,Risnjak,Fringilla coelebs,Zeba,33,IPA,D.T.,11.3,74
2020,2020-03-22,Risnjak,Strix Uralskaensis,Uralska sova,2,točkasta_metoda,M.K.,15.9,54
2020,2020-03-22,Risnjak,Erithacus rubecula,Crvendać,13,IPA,S.B.,15.2,69
2020,2020-03-25,Risnjak,Dendrocopos major,Veliki djetlić,19,IPA,S.B.,18.4,50
2020,2020-03-25,Risnjak,Accipiter gentilis,Jastreb kokošar,3,IPA,D.T.,15,74
2020,2020-03-25,Risnjak,Fringilla coelebs,Zeba,35,transekt,M.K.,10.8,75
2020,2020-03-25,Risnjak,Turdus merula,Kos,22,točkasta_metoda,I.H.,16.8,80
2020,2020-03-25,Risnjak,Parus major,Velika sjenica,28,transekt,M.K.,18.3,53
2020,2020-03-25,Risnjak,Erithacus rubecula,Crvendać,15,IPA,D.T.,17.1,72
2020,2020-03-25,Risnjak,Phoenicurus ochruros,Crvenrepka,11,transekt,D.T.,13.8,83
2020,2020-03-25,Risnjak,Sitta europaea,Brgljez,15,IPA,D.T.,14.1,84
2020,2020-03-25,Risnjak,Buteo buteo,Škanjac,11,točkasta_metoda,S.B.,16.7,70
2020,2020-03-25,Risnjak,Strix Uralskaensis,Uralska sova,1,IPA,I.H.,17.7,76
2020,2020-03-27,Plitvice,Fringilla coelebs,Zeba,33,transekt,M.K.,15.6,65
2020,2020-03-27,Plitvice,Erithacus rubecula,Crvendać,14,točkasta_metoda,I.H.,12.2,52
2020,2020-03-27,Plitvice,Dryocopus martius,Crna žuna,7,transekt,I.H.,14,67
2020,2020-03-27,Plitvice,Buteo buteo,Škanjac,7,transekt,D.T.,12.4,54
2020,2020-03-27,Plitvice,Anas platyrhynchos,Divlja patka,25,IPA,S.B.,19,70
2020,2020-03-27,Plitvice,Phoenicurus ochruros,Crvenrepka,4,točkasta_metoda,S.B.,17.1,51
2020,2020-04-03,Velebit,Sitta europaea,Brgljez,19,točkasta_metoda,S.B.,15.3,80
2020,2020-04-03,Velebit,Strix Uralskaensis,Uralska sova,2,IPA,S.B.,18.7,60
2020,2020-04-03,Velebit,Cyanistes caeruleus,Plavetna sjenica,27,točkasta_metoda,I.H.,14.4,75
2020,2020-04-03,Velebit,Fringilla coelebs,Zeba,32,IPA,A.P.,10.3,71
2020,2020-04-03,Velebit,Parus major,Velika sjenica,27,točkasta_metoda,D.T.,15.1,76
2020,2020-04-03,Velebit,Corvus corax,Gavran,5,transekt,A.P.,18.2,51
2020,2020-04-03,Velebit,Buteo buteo,Škanjac,9,transekt,A.P.,14.1,53
2020,2020-04-03,Velebit,Tetrao urogallus,Tetrijeb,8,IPA,D.T.,20.4,71
2020,2020-04-05,Plitvice,Accipiter gentilis,Jastreb kokošar,3,IPA,D.T.,21.4,80
2020,2020-04-05,Plitvice,Cyanistes caeruleus,Plavetna sjenica,22,IPA,D.T.,17.1,62
2020,2020-04-05,Plitvice,Dryocopus martius,Crna žuna,7,točkasta_metoda,M.K.,21.2,53
2020,2020-04-05,Plitvice,Turdus merula,Kos,14,IPA,D.T.,16.6,56
2020,2020-04-05,Plitvice,Phoenicurus ochruros,Crvenrepka,13,točkasta_metoda,D.T.,14.5,51
2020,2020-04-05,Plitvice,Fringilla coelebs,Zeba,26,IPA,A.P.,16.6,80
2020,2020-04-05,Plitvice,Dendrocopos major,Veliki djetlić,13,točkasta_metoda,A.P.,10.4,63
2020,2020-04-05,Plitvice,Strix Uralskaensis,Uralska sova,1,IPA,I.H.,13.3,80
2020,2020-04-05,Plitvice,Erithacus rubecula,Crvendać,16,transekt,M.K.,15.7,81
2020,2020-04-05,Plitvice,Corvus corax,Gavran,7,IPA,M.K.,21.3,72
2020,2020-04-05,Risnjak,Erithacus rubecula,Crvendać,19,IPA,A.P.,16.2,66
2020,2020-04-05,Risnjak,Parus major,Velika sjenica,27,točkasta_metoda,D.T.,14.8,51
2020,2020-04-05,Risnjak,Phoenicurus ochruros,Crvenrepka,7,točkasta_metoda,I.H.,16.2,69
2020,2020-04-05,Risnjak,Fringilla coelebs,Zeba,33,IPA,M.K.,9.9,78
2020,2020-04-05,Risnjak,Sitta europaea,Brgljez,15,transekt,A.P.,16.6,53
2020,2020-04-05,Risnjak,Turdus merula,Kos,25,IPA,M.K.,14.6,69
2020,2020-04-05,Risnjak,Cyanistes caeruleus,Plavetna sjenica,22,točkasta_metoda,M.K.,14,60
2020,2020-04-05,Risnjak,Picus viridis,Zelena žuna,10,IPA,I.H.,15.3,53
2020,2020-04-05,Risnjak,Strix Uralskaensis,Uralska sova,5,točkasta_metoda,D.T.,21.6,64
2020,2020-04-05,Risnjak,Aquila chrysaetos,Suri orao,1,transekt,A.P.,20.3,68
2020,2020-04-09,Velebit,Fringilla coelebs,Zeba,21,IPA,S.B.,14.9,67
2020,2020-04-09,Velebit,Cyanistes caeruleus,Plavetna sjenica,20,IPA,M.K.,22.9,52
2020,2020-04-09,Velebit,Turdus merula,Kos,20,IPA,I.H.,16.3,
2020,2020-04-09,Velebit,Erithacus rubecula,Crvendać,9,točkasta_metoda,I.H.,15.3,57
2020,2020-04-09,Velebit,Dryocopus martius,Crna žuna,3,transekt,D.T.,9.8,50
2020,2020-04-09,Velebit,Parus major,Velika sjenica,21,IPA,M.K.,15.1,78
2020,2020-04-10,Velebit,Turdus merula,Kos,24,IPA,A.P.,13.7,85
2020,2020-04-10,Velebit,Sitta europaea,Brgljez,10,točkasta_metoda,D.T.,11.9,64
2020,2020-04-10,Velebit,Parus major,Velika sjenica,35,točkasta_metoda,S.B.,10.4,71
2020,2020-04-10,Velebit,Picus viridis,Zelena žuna,3,točkasta_metoda,M.K.,14.6,59
2020,2020-04-10,Velebit,Cyanistes caeruleus,Plavetna sjenica,13,IPA,M.K.,16.4,74
2020,2020-04-10,Velebit,Accipiter gentilis,Jastreb kokošar,1,točkasta_metoda,D.T.,15.4,76
2020,2020-04-10,Velebit,Strix Uralskaensis,Uralska sova,1,IPA,A.P.,13,62
2020,2020-04-10,Velebit,Erithacus rubecula,Crvendać,22,točkasta_metoda,A.P.,12.7,71
2020,2020-04-10,Velebit,Fringilla coelebs,Zeba,43,IPA,D.T.,20.2,81
2020,2020-04-14,Velebit,Erithacus rubecula,Crvendać,14,IPA,D.T.,14.4,54
2020,2020-04-14,Velebit,Strix Uralskaensis,Uralska sova,6,točkasta_metoda,S.B.,16.3,74
2020,2020-04-14,Velebit,Fringilla coelebs,Zeba,30,točkasta_metoda,D.T.,15.2,78
2020,2020-04-14,Velebit,Buteo buteo,Škanjac,11,transekt,M.K.,20.3,65
2020,2020-04-14,Velebit,Sitta europaea,Brgljez,12,točkasta_metoda,M.K.,13.1,51
2020,2020-04-14,Velebit,Aquila chrysaetos,Suri orao,4,transekt,A.P.,14.7,64
2020,2020-04-14,Velebit,Parus major,Velika sjenica,26,IPA,D.T.,11.1,58
2020,2020-04-15,Risnjak,Fringilla coelebs,Zeba,33,transekt,M.K.,11.7,69
2020,2020-04-15,Risnjak,Turdus merula,Kos,36,transekt,I.H.,16.8,52
2020,2020-04-15,Risnjak,Dryocopus martius,Crna žuna,5,transekt,S.B.,14.1,54
2020,2020-04-15,Risnjak,Buteo buteo,Škanjac,10,transekt,D.T.,14,83
2020,2020-04-15,Risnjak,Aquila chrysaetos,Suri orao,6,transekt,A.P.,19.5,82
2020,2020-04-15,Risnjak,Picus viridis,Zelena žuna,7,IPA,D.T.,17,83
2020,2020-04-15,Risnjak,Cyanistes caeruleus,Plavetna sjenica,20,IPA,M.K.,15.6,66
2020,2020-04-15,Risnjak,Parus major,Velika sjenica,25,točkasta_metoda,A.P.,19.5,78
2020,2020-04-17,Plitvice,Fringilla coelebs,Zeba,24,točkasta_metoda,D.T.,11,80
2020,2020-04-17,Plitvice,Dryocopus martius,Crna žuna,4,IPA,D.T.,15.8,64
2020,2020-04-17,Plitvice,Phoenicurus ochruros,Crvenrepka,10,transekt,M.K.,16.2,62
2020,2020-04-17,Plitvice,Anas platyrhynchos,Divlja patka,37,točkasta_metoda,S.B.,12.2,59
2020,2020-04-17,Plitvice,Dendrocopos major,Veliki djetlić,11,IPA,D.T.,15,51
2020,2020-04-17,Plitvice,Tetrao urogallus,Tetrijeb,7,transekt,A.P.,15,57
2020,2020-04-17,Plitvice,Alcedo atthis,Vodomar,2,točkasta_metoda,D.T.,18.2,51
2020,2020-04-17,Risnjak,Phoenicurus ochruros,Crvenrepka,10,točkasta_metoda,I.H.,18.4,53
2020,2020-04-17,Risnjak,Accipiter gentilis,Jastreb kokošar,7,transekt,I.H.,16.9,65
2020,2020-04-17,Risnjak,Cyanistes caeruleus,Plavetna sjenica,27,transekt,S.B.,20.4,67
2020,2020-04-17,Risnjak,Buteo buteo,Škanjac,4,transekt,S.B.,19.8,70
2020,2020-04-17,Risnjak,Sitta europaea,Brgljez,25,transekt,I.H.,18.3,60
2020,2020-04-17,Risnjak,Fringilla coelebs,Zeba,37,transekt,I.H.,16.2,85
2020,2020-04-17,Risnjak,Parus major,Velika sjenica,16,točkasta_metoda,I.H.,19,84
2020,2020-04-17,Risnjak,Strix Uralskaensis,Uralska sova,9,transekt,A.P.,15.7,72
2020,2020-04-17,Risnjak,Dryocopus martius,Crna žuna,5,transekt,S.B.,18.9,53
2020,2020-04-21,Velebit,Corvus corax,Gavran,1,točkasta_metoda,I.H.,19.8,51
2020,2020-04-21,Velebit,Cyanistes caeruleus,Plavetna sjenica,23,IPA,S.B.,17.7,54
2020,2020-04-21,Velebit,Erithacus rubecula,Crvendać,25,transekt,D.T.,15.1,81
2020,2020-04-21,Velebit,Strix Uralskaensis,Uralska sova,4,IPA,D.T.,17.6,55
2020,2020-04-21,Velebit,Aquila chrysaetos,Suri orao,2,IPA,M.K.,9.9,61
2020,2020-04-21,Velebit,Sitta europaea,Brgljez,12,IPA,M.K.,15.5,59
2020,2020-04-21,Velebit,Picus viridis,Zelena žuna,6,točkasta_metoda,A.P.,14.6,85
2020,2020-04-21,Velebit,Parus major,Velika sjenica,35,IPA,D.T.,21.9,57
2020,2020-04-21,Velebit,Buteo buteo,Škanjac,2,točkasta_metoda,S.B.,19.4,84
2020,2020-04-22,Plitvice,Strix Uralskaensis,Uralska sova,8,IPA,M.K.,16.2,51
2020,2020-04-22,Plitvice,Sitta europaea,Brgljez,13,transekt,A.P.,17.8,84
2020,2020-04-22,Plitvice,Anas platyrhynchos,Divlja patka,22,točkasta_metoda,I.H.,12.8,66
2020,2020-04-22,Plitvice,Parus major,Velika sjenica,36,točkasta_metoda,D.T.,18.6,83
2020,2020-04-22,Plitvice,Turdus merula,Kos,26,točkasta_metoda,M.K.,17.5,72
2020,2020-04-22,Plitvice,Buteo buteo,Škanjac,8,IPA,I.H.,12.7,73
2020,2020-04-22,Plitvice,Dryocopus martius,Crna žuna,4,IPA,S.B.,20.9,84
2020,2020-04-22,Plitvice,Alcedo atthis,Vodomar,7,transekt,D.T.,18.2,65
2020,2020-04-22,Plitvice,Aquila chrysaetos,Suri orao,1,točkasta_metoda,M.K.,17.9,69
2020,2020-04-22,Plitvice,Corvus corax,Gavran,1,točkasta_metoda,D.T.,12.7,64
2020,2020-04-23,Risnjak,Corvus corax,Gavran,9,IPA,D.T.,15.8,78
2020,2020-04-23,Risnjak,Erithacus rubecula,Crvendać,18,točkasta_metoda,D.T.,15.2,84
